Time,Velocity1,Velocity2,Velocity3,Velocity4,Velocity5,VelocityAV1,Acceleration1,Acceleration2,Acceleration3,Acceleration4,Acceleration5,AccelerationAV1,Headway1,Headway2,Headway3,Headway4,Headway5,HeadwayAV1
17.0,29.704049397400762,28.49271328133766,26.9159702401088,26.018137115777783,29.1739494076979,27.482719984020157,0.07663270568410852,0.47143157703368754,0.7985699460544446,1.3614536176651026,-0.10226115344776165,0.5419577745716662,222.97137871027473,99.48910447019696,453.62117273531476,137.56377001838828,138.81536438055696,172.18598338177844
17.5,29.739902150791867,28.71057638599795,27.289582879283326,26.661464841666927,29.104413160572005,27.738639622677855,0.06734908377405376,0.40422111181978115,0.7018283341768111,1.0979937738328183,0.025793101160893867,0.48727083302892216,208.1105568033056,100.04988865507326,440.0715141065112,138.69312637781974,138.04725375297443,171.93178299412983
18.0,29.771411544465387,28.89713544081144,27.617934623802974,27.147031459865932,29.148648226250675,27.969822040711893,0.05919012051984751,0.34573921347496744,0.6168059519782404,0.8448442151367803,0.14717843544180192,0.4400227913135566,193.23287425201596,100.52629648255206,426.34615483671746,139.6418502284847,137.41056304960466,171.73136396112474
18.5,29.79910375205798,29.05653752073515,27.90650844748557,27.521090504475733,29.244411151213658,28.178522683905864,0.05201956984162664,0.29514036819010525,0.5420834241433348,0.7293919305632719,0.1357031278670019,0.3970919168552725,178.3403736287725,100.9309237283465,412.4663800205019,140.4648452346629,136.85114323331536,171.5752469915402
19.0,29.823441204225343,29.192591706757817,28.16012318654874,27.867101524977635,29.298153708148543,28.366740128157737,0.04571769110692259,0.25200111031347033,0.4764130752394053,0.6699770444545331,0.08005159396817041,0.35796306005556133,163.43485005977163,101.27463149825775,398.45089621999676,141.18186221959928,136.3512516296741,171.4554848131648
19.5,29.84483031074631,29.30885176037722,28.383013928010907,28.18853854366487,29.32331681796876,28.5363349866994,0.040179249588403826,0.21551133874993325,0.41869831050288586,0.5848118891816608,0.0678159667802454,0.3224128899760409,148.5178812017523,101.56664604709707,384.3161438126136,141.79399518903557,135.9195476498874,171.36542650883905
20.0,29.86362824713748,29.408318009824146,28.578902708953628,28.455351371773247,29.363481533352896,28.689025275957928,0.035311759154931364,0.1843920782007382,0.3679753626902518,0.48189989180477844,0.09229718164547876,0.29016439001629774,133.59085358720063,101.81473093394575,370.07657151917874,142.3124903719492,135.55365975310556,171.29951628650025
20.5,29.88014891910758,29.493394961133003,28.751060664511126,28.670156270372942,29.449414879113302,28.826389980343258,0.031033937850737915,0.1576558102946998,0.32339721439781854,0.4010352291966458,0.16505050617880263,0.26094559540123885,118.65498577797837,102.02546703543709,355.74487767990775,142.756873789331,243.79130401635774,171.25312350085974
21.0,29.894668204451673,29.566120274056342,28.902362650700375,28.856046579704323,29.52598563569092,28.94987710736922,0.027274350572503894,0.13476732167407196,0.28421945820927447,0.35019477974705887,0.13807771274133612,0.2345022008399889,103.71134871402171,102.20447812612281,341.33222230262675,143.14075809313815,243.4286954508403,171.22239814043604
21.5,29.907428559919342,29.628305922399683,29.03533525102395,29.02226575443171,29.5655091323322,29.06081188234246,0.023970216178484095,0.11528091865964851,0.2497878670977748,0.30843325936433996,0.07094295166956983,0.21059646770088852,88.76088359690806,102.35655471682242,326.84841342294874,143.4702995769465,243.1238651720612,171.20414796587767
22.0,29.918643069986633,29.68151880455473,29.152198967623008,29.164888131728667,29.598613499591394,29.159644444298465,0.021066359109665457,0.0986687860559075,0.2195274698599249,0.2626709157049495,0.06624689749138071,0.18699450165767356,73.80441760693009,102.48575237560038,312.3020708880716,143.75125630446314,242.87922768838877,171.19582356620992
22.5,29.89609630254542,29.753782103440436,29.254905301286104,29.283735638792425,29.646186063496135,29.24799143689071,-0.20841665009136606,0.17588044236233208,0.19293294979520967,0.21982077666102715,0.0961265227489501,0.1676875244695854,58.845656086897236,102.58899888867768,297.70077029912056,143.99494171018839,242.6808352453147,171.19569438227154
23.0,29.587996049934628,29.834815198944945,29.34516933944428,29.384866705983345,29.69367267595803,29.327270508556122,-1.0863220545599064,0.14997657331105582,0.16956020647539846,0.18804144825105537,0.09072063227068648,0.15045521303332243,43.952973932895816,102.5848052118792,283.05116951569136,144.22501912308934,242.51311168403618,171.20191551814867
23.5,28.71189815568282,29.933624757109385,29.42449839631939,29.48805109600605,29.72725920154907,29.39840468015168,-2.4124242802451117,0.2814935902962761,0.1490189397427791,0.21473317840937145,0.05937839400297038,0.13496920001870916,29.34139946085253,102.25854775132098,268.359119835082,144.44666099233407,242.37381718977554,171.21293640456102
24.0,27.136146198633735,30.155107496017248,29.494217183480895,29.589915604408052,29.75334425501234,29.46220180098639,-3.8105033864774387,0.6250399742651844,0.13096613211114416,0.19350760485408977,0.04767804874038032,0.12102043695774091,15.334461391943876,101.25280765965232,253.629763702785,144.6904269606801,242.2725529050089,171.22748940930742
24.5,24.935311573588947,30.598819363191023,29.55548993113151,29.689805937687854,29.789599457421655,29.5193923621103,-4.862495740636229,1.1445994626338403,0.11510032073612209,0.22953114134381578,0.08395319632910797,0.10846450333299744,2.2728208386650977,99.14156772646618,238.86762058590216,145.0451519508086,242.20626691757607,171.24454532383095
25.0,nan,30.987558896031985,29.60933982952345,29.774310712312367,29.82149555887795,29.570638071479273,nan,-0.031021499203449567,0.10115656330382095,-0.029401180117050396,-0.05582580424038208,0.09716959225421448,nan,91.60379392193528,224.07666244347837,144.9829401080485,242.17429683489667,171.26327392097386
25.5,nan,30.951099859270162,29.656666115156284,29.70545580733416,29.7992253779812,29.616537617890202,nan,-0.12131259297270916,0.08890201377369777,-0.22429125135507558,-0.053044291500698365,0.08701507105784705,nan,76.11687661613246,209.26038005402728,145.5950448775044,242.1438166644627,171.28301065810834
26.0,nan,30.84767935848143,29.698259087077954,29.702162395713444,29.781130459083677,29.657632171333535,nan,-0.32986907525312575,0.07813203409531014,0.28569249377831335,0.03537986967358281,0.07789094467276814,nan,60.66207017605626,194.42184130785068,146.21464983723087,242.08624446362114,171.30322856224433
26.5,nan,30.503940724826244,29.73481330404519,29.865296026533144,29.76866522213198,29.694410497488345,nan,-1.122313935906447,0.0686667769687432,0.35700003388232027,-0.06692586009448165,0.069697065960567,nan,45.30389655342026,179.56374243756983,146.68415549553077,242.08510740834777,171.3235145146212
27.0,nan,29.617776173710723,29.766939182922155,30.098484966901612,29.791311718281662,29.727313681122713,nan,-2.428741258902408,0.060348182584409216,0.6057154510617455,0.15460800520868176,0.06234237121241754,nan,30.23715348814966,164.68845304236658,146.76950622468138,242.18414436226345,171.34354927910636
